days,kWh
05/07/24,2.076
06/07/24,2.233
07/07/24,3.647
08/07/24,3.117
09/07/24,3.596
10/07/24,3.678
11/07/24,3.737
12/07/24,3.644
13/07/24,3.707
14/07/24,3.727
15/07/24,3.374
16/07/24,3.491
17/07/24,3.387
18/07/24,3.27
19/07/24,3.473
20/07/24,3.357
21/07/24,3.693
22/07/24,3.674
23/07/24,3.577
24/07/24,3.588
25/07/24,3.425
26/07/24,3.235
27/07/24,3.158
28/07/24,2.887
29/07/24,3.066
30/07/24,3.675
31/07/24,3.728
01/08/24,3.852
02/08/24,3.018
03/08/24,3.308
04/08/24,3.367
05/08/24,3.552
06/08/24,3.571
07/08/24,3.766
08/08/24,3.612
09/08/24,3.616
10/08/24,3.972
11/08/24,3.749
12/08/24,4.413
13/08/24,4.288
14/08/24,3.643
15/08/24,4.019
16/08/24,3.92
17/08/24,3.917
18/08/24,3.871
19/08/24,3.662
20/08/24,3.243
21/08/24,3.965
22/08/24,4.028
23/08/24,4.375
24/08/24,3.702
25/08/24,4.279
26/08/24,3.633
27/08/24,4.011
28/08/24,3.853
29/08/24,3.827
30/08/24,3.745
31/08/24,3.591
01/09/24,3.547
02/09/24,3.696
03/09/24,3.608
04/09/24,3.98
05/09/24,3.765
06/09/24,3.508
07/09/24,3.372
08/09/24,3.26
09/09/24,2.235
10/09/24,1.795
11/09/24,1.793
12/09/24,1.791
13/09/24,1.823
14/09/24,2.521
15/09/24,1.79
16/09/24,1.789
17/09/24,1.79
18/09/24,1.792
19/09/24,1.824
20/09/24,1.822
21/09/24,1.813
22/09/24,1.817
23/09/24,1.818
24/09/24,1.819
25/09/24,1.818
26/09/24,1.807
27/09/24,1.784
28/09/24,1.787
29/09/24,1.784
30/09/24,1.786
01/10/24,1.785
02/10/24,1.795
03/10/24,1.79
04/10/24,1.788
05/10/24,1.785
06/10/24,1.797
07/10/24,1.803
08/10/24,1.793
09/10/24,1.808
10/10/24,1.792
11/10/24,1.785
12/10/24,1.79
13/10/24,1.785
14/10/24,1.792
15/10/24,1.795
16/10/24,1.792
17/10/24,1.802
18/10/24,1.802
19/10/24,1.795
20/10/24,1.799
21/10/24,1.797
22/10/24,3.018
23/10/24,4.039
24/10/24,3.492
25/10/24,3.903
26/10/24,3.135
27/10/24,3.834
28/10/24,3.812
29/10/24,3.407
30/10/24,3.628
31/10/24,3.919
01/11/24,3.239
02/11/24,4.091
03/11/24,3.338
04/11/24,3.817
05/11/24,3.123
06/11/24,3.445
07/11/24,3.481
08/11/24,3.979
09/11/24,3.301
10/11/24,3.382
11/11/24,3.759
12/11/24,3.333
13/11/24,3.544
14/11/24,3.323
15/11/24,3.836
16/11/24,3.383
17/11/24,3.882
18/11/24,3.175
19/11/24,4.536
20/11/24,3.694
21/11/24,3.775
22/11/24,3.478
23/11/24,4.066
24/11/24,3.509
25/11/24,3.425
26/11/24,3.507
27/11/24,3.647
28/11/24,3.722
29/11/24,4.078
30/11/24,3.541
01/12/24,3.594
02/12/24,3.586
03/12/24,3.11
04/12/24,3.739
05/12/24,3.758
06/12/24,3.27
07/12/24,3.911
08/12/24,3.264
09/12/24,4.015
10/12/24,3.391
11/12/24,3.831
12/12/24,3.963
13/12/24,3.495
14/12/24,4.447
15/12/24,3.288
16/12/24,3.444
17/12/24,3.125
18/12/24,3.15
19/12/24,3.596
20/12/24,3.577
21/12/24,2.989
22/12/24,3.524
23/12/24,5.091
24/12/24,3.869
25/12/24,3.483
26/12/24,3.529
27/12/24,1.036
