days,kWh
05/07/24,2.084
06/07/24,2.279
07/07/24,3.633
08/07/24,3.138
09/07/24,3.603
10/07/24,3.678
11/07/24,3.824
12/07/24,3.546
13/07/24,3.755
14/07/24,3.744
15/07/24,3.285
16/07/24,3.5
17/07/24,3.39
18/07/24,3.284
19/07/24,3.445
20/07/24,3.389
21/07/24,3.687
22/07/24,3.675
23/07/24,3.565
24/07/24,3.599
25/07/24,3.45
26/07/24,3.21
27/07/24,3.159
28/07/24,2.879
29/07/24,3.072
30/07/24,3.678
31/07/24,3.689
01/08/24,3.871
02/08/24,3.029
03/08/24,3.318
04/08/24,3.355
05/08/24,3.54
06/08/24,3.581
07/08/24,3.782
08/08/24,3.618
09/08/24,3.615
10/08/24,4.04
11/08/24,3.711
12/08/24,4.358
13/08/24,4.367
14/08/24,3.591
15/08/24,4.011
16/08/24,3.915
17/08/24,3.934
18/08/24,3.876
19/08/24,3.64
20/08/24,3.252
21/08/24,3.974
22/08/24,4.048
23/08/24,4.353
24/08/24,3.701
25/08/24,4.289
26/08/24,3.618
27/08/24,4.011
28/08/24,3.913
29/08/24,3.765
30/08/24,3.746
31/08/24,3.606
01/09/24,3.506
02/09/24,3.728
03/09/24,3.651
04/09/24,3.935
05/09/24,3.77
06/09/24,3.518
07/09/24,3.416
08/09/24,3.184
09/09/24,2.174
10/09/24,1.794
11/09/24,1.794
12/09/24,1.792
13/09/24,1.853
14/09/24,2.492
15/09/24,1.788
16/09/24,1.789
17/09/24,1.79
18/09/24,1.793
19/09/24,1.825
20/09/24,1.821
21/09/24,1.814
22/09/24,1.816
23/09/24,1.817
24/09/24,1.82
25/09/24,1.819
26/09/24,1.804
27/09/24,1.785
28/09/24,1.786
29/09/24,1.785
30/09/24,1.786
01/10/24,1.785
02/10/24,1.794
03/10/24,1.79
04/10/24,1.788
05/10/24,1.786
06/10/24,1.797
07/10/24,1.803
08/10/24,1.793
09/10/24,1.808
10/10/24,1.792
11/10/24,1.785
12/10/24,1.789
13/10/24,1.785
14/10/24,1.792
15/10/24,1.796
16/10/24,1.793
17/10/24,1.803
18/10/24,1.8
19/10/24,1.795
20/10/24,1.799
21/10/24,1.797
22/10/24,3.095
23/10/24,4.01
24/10/24,3.47
25/10/24,3.898
26/10/24,3.139
27/10/24,3.836
28/10/24,3.815
29/10/24,3.404
30/10/24,3.663
31/10/24,3.893
01/11/24,3.235
02/11/24,4.087
03/11/24,3.345
04/11/24,3.809
05/11/24,3.162
06/11/24,3.45
07/11/24,3.433
08/11/24,4.02
09/11/24,3.29
10/11/24,3.388
11/11/24,3.731
12/11/24,3.338
13/11/24,3.539
14/11/24,3.362
15/11/24,3.823
16/11/24,3.383
17/11/24,3.885
18/11/24,3.153
19/11/24,4.57
20/11/24,3.688
21/11/24,3.777
22/11/24,3.477
23/11/24,4.068
24/11/24,2.927
