,1
dt,13/03/2024
sunrise,07:07:39
sunset,18:52:30
moonrise,08:22:00
moonset,23:30:00
moon_phase,0.12
pressure,1019
humidity,68
dew_point,7.96
wind_speed,3.03
wind_deg,245
wind_gust,7.89
pop,0.02
rain,
uvi,2.62
